checkpoint,layer7_any_negative,layer7_improvement_mean,mode,realizations,utterance_id
accepted_j3,True,-0.04452037811279297,estimated_normal,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
accepted_j3,False,0.005139768123626709,oracle_normal,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
accepted_j3,True,-0.01182091236114502,data_only,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
accepted_j3,False,0.04911017417907715,no_jammer,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
accepted_j3,True,0.0049436092376708984,barrage_equal_global,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
accepted_j3,True,-0.00529971718788147,barrage_equal_active,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
accepted_j3,True,-0.04451858997344971,estimated_clip_10,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
accepted_j3,False,0.005152255296707153,oracle_clip_10,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
accepted_j3,True,-0.04452037811279297,estimated_clip_20,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
accepted_j3,False,0.005139768123626709,oracle_clip_20,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
accepted_j3,True,-0.04452037811279297,estimated_clip_40,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
accepted_j3,False,0.005139768123626709,oracle_clip_40,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
j4_final,False,0.0239848792552948,estimated_normal,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
j4_final,False,0.04230836033821106,oracle_normal,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
j4_final,False,0.03429672122001648,data_only,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
j4_final,False,0.04822695255279541,no_jammer,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
j4_final,True,0.0030736327171325684,barrage_equal_global,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
j4_final,True,-0.013238251209259033,barrage_equal_active,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
j4_final,False,0.0239848792552948,estimated_clip_10,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
j4_final,False,0.042291998863220215,oracle_clip_10,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
j4_final,False,0.0239848792552948,estimated_clip_20,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
j4_final,False,0.04230836033821106,oracle_clip_20,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
j4_final,False,0.0239848792552948,estimated_clip_40,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
j4_final,False,0.04230836033821106,oracle_clip_40,2,data/mini_librispeech/LibriSpeech/dev-clean-2/6241/61946/6241-61946-0000.flac
accepted_j3,False,0.08280691504478455,estimated_normal,2,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac
accepted_j3,False,0.08403381705284119,oracle_normal,2,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac
accepted_j3,False,0.08216708898544312,data_only,2,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac
accepted_j3,False,0.09367573261260986,no_jammer,2,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac
accepted_j3,False,0.08658275008201599,barrage_equal_global,2,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac
accepted_j3,False,0.060529470443725586,barrage_equal_active,2,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac
accepted_j3,False,0.08280828595161438,estimated_clip_10,2,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac
accepted_j3,False,0.08403381705284119,oracle_clip_10,2,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac
accepted_j3,False,0.08280691504478455,estimated_clip_20,2,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac
accepted_j3,False,0.08403381705284119,oracle_clip_20,2,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac
accepted_j3,False,0.08280691504478455,estimated_clip_40,2,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac
accepted_j3,False,0.08403381705284119,oracle_clip_40,2,data/mini_librispeech/LibriSpeech/dev-clean-2/5895/34629/5895-34629-0033.flac
